Top,中文名称,其他名称,是否可播放,导演,主演,发布年份,发布国家,电影类型,电影评分,评价人数,引言
136,怪兽电力公司,  怪兽公司(港)    怪物公司,可播放,"导演:,彼特·道格特,Pete,Docter,/,大卫·斯沃曼,David,Silverman","主演:,约...",2001,美国,"冒险,奇幻,动画,喜剧,儿童",8.8,783617人评价,暂无引言
137,教父3,  教父第三集    教父 III,可播放,"导演:,弗朗西斯·福特·科波拉,Francis,Ford,Coppola","主演:,阿尔·帕西诺,A...",1990,美国,"犯罪,剧情",9.0,441004人评价,暂无引言
138,九品芝麻官,  九品芝麻官之白面包青天    Hail the Judge,可播放,"导演:,王晶,Jing,Wong","主演:,周星驰,Stephen,Chow,/,吴孟达,Man,Tat,Ng,/,...",1994,中国香港,"古装,喜剧,剧情",8.8,811560人评价,暂无引言
139,小森林 夏秋篇,  小森食光  夏秋篇(台) ,可播放,"导演:,森淳一,Junichi,Mori","主演:,桥本爱,Ai,Hashimoto,/,三浦贵大,Takahir...",2014,日本,剧情,9.0,480664人评价,那些静得只能听见呼吸的日子里，你明白孤独即生活。
140,天使爱美丽,  艾蜜莉的异想世界(台)    天使艾米莉,可播放,"导演:,让-皮埃尔·热内,Jean-Pierre,Jeunet","主演:,奥黛丽·塔图,Audrey,Tau...",2001,"德国,法国","爱情,喜剧,剧情",8.7,1030465人评价,暂无引言
141,阳光灿烂的日子,  In the Heat of the Sun,未知,"导演:,姜文,Wen,Jiang","主演:,夏雨,Yu,Xia,/,宁静,Jing,Ning,/,陶虹,Hong,Tao",1994,"中国香港,中国大陆","爱情,剧情",8.8,705523人评价,暂无引言
142,哪吒闹海,  Prince Nezha's Triumph Against Dragon King    Nezha Conquers the Dragon King,可播放,"导演:,王树忱,Shuchen,Wang,/,严定宪,Dingxian,Yan","主演:,梁正晖,Zhenghui,...",1979,中国大陆,"奇幻,动画,冒险",9.2,314241人评价,暂无引言
143,侧耳倾听,  心之谷(台)    梦幻街少女(港),未知,"导演:,近藤喜文,Yoshifumi,Kondo","主演:,本名阳子,Youko,Honna,/,小林桂树,K...",1995,日本,"动画,爱情,剧情",8.9,528079人评价,暂无引言
144,被解救的姜戈,  被解放的姜戈    决杀令(台),可播放,"导演:,昆汀·塔伦蒂诺,Quentin,Tarantino","主演:,杰米·福克斯,Jamie,Foxx,/...",2012,美国,"冒险,西部,动作,剧情",8.8,705676人评价,热血沸腾，那个低俗、性感的无耻混蛋又来了。
145,幸福终点站,  机场客运站(港)    航站情缘(台),可播放,"导演:,史蒂文·斯皮尔伯格,Steven,Spielberg","主演:,汤姆·汉克斯,Tom,Hanks...",2004,美国,"爱情,剧情,喜剧",8.8,652085人评价,有时候幸福需要等一等。 
146,请以你的名字呼唤我,  以你的名字呼唤我(港  台) ,未知,"导演:,卢卡·瓜达尼诺,Luca,Guadagnino","主演:,艾米·汉莫,Armie,Hammer,/,...",2017,"美国,巴西,法国,意大利","同性,爱情,剧情",8.8,839031人评价,沉醉在电影的情感和视听氛围中无法自拔。
147,釜山行,  尸杀列车(港)    尸速列车(台),可播放,"导演:,延尚昊,Sang-ho,Yeon","主演:,孔刘,Yoo,Gong,/,郑有美,Yu-mi,Jung,/,马...",2016,韩国,"灾难,惊悚,动作",8.6,1371291人评价,揭露人性的丧尸题材力作。
